# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 2)   1.391 us    |  mutex_unlock();
 1)   3.462 us    |  }
 3)   3.768 us    |        }
 0)               |    mutex_lock() {
 3)   4.554 us    |      }
 3)   5.358 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.747 us    |          mutex_spin_on_owner();
 3)   0.450 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 3)   8.325 us    |  }
 0)   1.473 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.390 us    |  }
 0)   3.705 us    |        }
 0)   4.488 us    |      }
 3)               |    mutex_lock() {
 0)   5.292 us    |    }
 3)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_stop */
 3)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 0)   0.492 us    |    mutex_unlock();
 3)   0.483 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_lock();
 0)   8.208 us    |  }
 3)   1.482 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.438 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.377 us    |  }
 3)   3.650 us    |        }
 0)               |    mutex_lock() {
 3)   4.436 us    |      }
 0)               |      __mutex_lock_slowpath() {
 3)   5.246 us    |    }
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 0)   0.810 us    |          mutex_spin_on_owner();
 3)   0.441 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 3)   8.108 us    |  }
 0)   1.440 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.273 us    |  }
 0)   3.744 us    |        }
 3)               |    mutex_lock() {
 0)   4.524 us    |      }
 0)   5.325 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.630 us    |          mutex_spin_on_owner();
 0)   0.447 us    |    mutex_unlock();
 1)               |    mutex_lock() {
 0)   8.217 us    |  }
 3)   1.695 us    |        }
 1)               |      __mutex_lock_slowpath() {
 3)   2.475 us    |      }
 1)               |        __mutex_lock.isra.0() {
 3)   3.279 us    |    }
 1)   1.422 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   0.438 us    |    mutex_unlock();
 0)               |    mutex_lock() {
 3)   6.171 us    |  }
 0)               |      __mutex_lock_slowpath() {
 1)   2.484 us    |        }
 1)   3.261 us    |      }
 0)               |        __mutex_lock.isra.0() {
 1)   4.155 us    |    }
 0)   1.566 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 1)   0.432 us    |    mutex_unlock();
 3)   0.492 us    |    mutex_lock();
 1)   7.206 us    |  }
 0)   1.590 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.435 us    |  }
 0)   4.604 us    |        }
 1)               |    mutex_lock() {
 0)   5.387 us    |      }
 1)               |      __mutex_lock_slowpath() {
 0)   6.278 us    |    }
 1)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 1)   0.840 us    |          mutex_spin_on_owner();
 0)   0.444 us    |    mutex_unlock();
 3)   0.492 us    |    mutex_lock();
 0)   9.332 us    |  }
 1)   1.446 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.444 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.459 us    |  }
 1)   3.822 us    |        }
 1)   4.605 us    |      }
 0)               |    mutex_lock() {
 1)   5.442 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 0)   0.720 us    |          mutex_spin_on_owner();
 1)   0.453 us    |    mutex_unlock();
 3)               |    mutex_lock() {
 1)   8.421 us    |  }
 0)   1.794 us    |        }
 3)               |      __mutex_lock_slowpath() {
 0)   2.577 us    |      }
 3)               |        __mutex_lock.isra.0() {
 0)   3.390 us    |    }
 3)   1.829 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.435 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 0)   6.744 us    |  }
 3)   1.218 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.444 us    |    mutex_unlock();
 1)   3.428 us    |  }
 3)   4.499 us    |        }
 0)               |  do_syscall_64() {
 3)   5.282 us    |      }
 3)   6.407 us    |    }
 0)               |    mutex_lock() {
 0)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 0)               |        __mutex_lock.isra.0() {
 3)   0.453 us    |    mutex_unlock();
 0)   0.480 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_lock();
 3)   9.446 us    |  }
 0)   1.218 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.441 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.381 us    |  }
 0)   3.252 us    |        }
 0)   4.038 us    |      }
 3)               |    mutex_lock() {
 0)   4.881 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 3)   0.663 us    |          mutex_spin_on_owner();
 0)   0.477 us    |    mutex_unlock();
 1)   0.468 us    |    mutex_lock();
 0)   7.830 us    |  }
 3)   1.611 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.438 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.495 us    |  }
 3)   3.933 us    |        }
 0)               |    mutex_lock() {
 3)   4.713 us    |      }
 0)               |      __mutex_lock_slowpath() {
 3)   5.526 us    |    }
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   1.014 us    |          mutex_spin_on_owner();
 3)   0.435 us    |    mutex_unlock();
 1)   0.438 us    |    mutex_lock();
 3)   8.538 us    |  }
 0)   1.326 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.444 us    |    mutex_unlock();
 1)   3.396 us    |  }
 3)               |  do_syscall_64() {
 0)   3.885 us    |        }
 0)   4.674 us    |      }
 3)               |    mutex_lock() {
 0)   5.474 us    |    }
 3)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_start */
 3)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 0)   0.501 us    |    mutex_unlock();
 3)   0.477 us    |          mutex_spin_on_owner();
 1)               |    mutex_lock() {
 0)   8.465 us    |  }
 3)   1.590 us    |        }
 1)               |      __mutex_lock_slowpath() {
 3)   2.370 us    |      }
 1)               |        __mutex_lock.isra.0() {
 3)   3.171 us    |    }
 1)   1.149 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 3)   0.435 us    |    mutex_unlock();
 0)   0.486 us    |    mutex_lock();
 3)   6.060 us    |  }
 1)   1.545 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.432 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.474 us    |  }
 1)   4.572 us    |        }
 3)               |    mutex_lock() {
 1)   5.358 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   6.255 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 3)   1.025 us    |          mutex_spin_on_owner();
 0)               |  do_syscall_64() {
 1)   0.435 us    |    mutex_unlock();
 0)   0.492 us    |    mutex_lock();
 1)   9.428 us    |  }
 3)   1.383 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.447 us    |  }
 3)   3.938 us    |        }
 3)   4.730 us    |      }
 1)               |    mutex_lock() {
 3)   5.528 us    |    }
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 1)   0.570 us    |          mutex_spin_on_owner();
 3)   0.450 us    |    mutex_unlock();
 0)               |    mutex_lock() {
 3)   8.441 us    |  }
 1)   1.626 us    |        }
 0)               |      __mutex_lock_slowpath() {
 1)   2.406 us    |      }
 0)               |        __mutex_lock.isra.0() {
 1)   3.246 us    |    }
 0)   1.521 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 1)   0.438 us    |    mutex_unlock();
 3)   0.489 us    |    mutex_lock();
 1)   6.261 us    |  }
 0)   1.647 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.444 us    |  }
 0)   4.584 us    |        }
 1)               |    mutex_lock() {
 0)   5.361 us    |      }
 1)               |      __mutex_lock_slowpath() {
 0)   6.258 us    |    }
 1)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 1)   0.666 us    |          mutex_spin_on_owner();
 0)   0.450 us    |    mutex_unlock();
 3)   0.492 us    |    mutex_lock();
 0)   9.255 us    |  }
 1)   1.578 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.435 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.450 us    |  }
 1)   3.777 us    |        }
 0)               |    mutex_lock() {
 1)   4.563 us    |      }
 0)               |      __mutex_lock_slowpath() {
 1)   5.367 us    |    }
 0)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 0)   0.825 us    |          mutex_spin_on_owner();
 3)               |  do_syscall_64() {
 1)   0.468 us    |    mutex_unlock();
 3)               |    mutex_lock() {
 1)   8.286 us    |  }
 0)   1.974 us    |        }
 3)               |      __mutex_lock_slowpath() {
 0)   2.754 us    |      }
 3)               |        __mutex_lock.isra.0() {
 0)   3.552 us    |    }
 3)   1.419 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.435 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 0)   6.426 us    |  }
 3)   1.428 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.432 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.345 us    |  }
 3)   4.386 us    |        }
 3)   5.172 us    |      }
 0)               |    mutex_lock() {
 3)   6.069 us    |    }
 0)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 0)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 3)   0.444 us    |    mutex_unlock();
 0)   0.489 us    |          mutex_spin_on_owner();
 1)   0.489 us    |    mutex_lock();
 3)   9.015 us    |  }
 0)   1.659 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.431 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.539 us    |  }
 0)   3.849 us    |        }
 3)               |    mutex_lock() {
 0)   4.632 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.436 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 3)   1.110 us    |          mutex_spin_on_owner();
 1)               |  do_syscall_64() {
 0)   0.441 us    |    mutex_unlock();
 1)   0.441 us    |    mutex_lock();
 0)   8.469 us    |  }
 3)   1.374 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.447 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.450 us    |  }
 3)   4.011 us    |        }
 3)   4.800 us    |      }
 0)               |    mutex_lock() {
 3)   5.658 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.639 us    |          mutex_spin_on_owner();
 3)   0.450 us    |    mutex_unlock();
 1)   0.456 us    |    mutex_lock();
 3)   8.595 us    |  }
 0)   1.506 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.312 us    |  }
 0)   3.693 us    |        }
 0)   4.488 us    |      }
 3)               |    mutex_lock() {
 0)   5.292 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.687 us    |          mutex_spin_on_owner();
 0)   0.444 us    |    mutex_unlock();
 1)   0.438 us    |    mutex_lock();
 0)   8.268 us    |  }
 3)   1.299 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.435 us    |    mutex_unlock();
 1)   3.291 us    |  }
 3)   3.507 us    |        }
 0)               |  do_syscall_64() {
 3)   4.299 us    |      }
 0)               |    mutex_lock() {
 3)   5.100 us    |    }
 0)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 0)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 3)   0.447 us    |    mutex_unlock();
 0)   0.486 us    |          mutex_spin_on_owner();
 1)   0.441 us    |    mutex_lock();
 3)   8.265 us    |  }
 0)   1.395 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.399 us    |  }
 0)   3.762 us    |        }
 3)               |    mutex_lock() {
 0)   4.641 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.439 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 0)               |  /* mutex_stop */
 3)   1.140 us    |          mutex_spin_on_owner();
 1)               |    mutex_lock() {
 0)   0.438 us    |    mutex_unlock();
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 0)   8.538 us    |  }
 3)   2.217 us    |        }
 1)   2.250 us    |          mutex_spin_on_owner();
 3)   3.027 us    |      }
 3)   3.831 us    |    }
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   0.447 us    |    mutex_unlock();
 0)   0.486 us    |    mutex_lock();
 3)   6.813 us    |  }
 1)   1.454 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.456 us    |  }
 1)   5.213 us    |        }
 1)   5.987 us    |      }
 3)               |    mutex_lock() {
 1)   6.866 us    |    }
 3)               |      __mutex_lock_slowpath() {
 1)               |  /* mutex_start */
 3)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.645 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_unlock();
 0)   0.486 us    |    mutex_lock();
 1)   9.920 us    |  }
 3)   1.485 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.357 us    |  }
 3)   3.651 us    |        }
 3)   4.446 us    |      }
 1)               |    mutex_lock() {
 3)   5.259 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.450 us    |    mutex_unlock();
 1)   0.477 us    |          mutex_spin_on_owner();
 0)   0.444 us    |    mutex_lock();
 3)   8.151 us    |  }
 1)   1.368 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.432 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.303 us    |  }
 1)   3.465 us    |        }
 3)               |    mutex_lock() {
 1)   4.251 us    |      }
 1)   5.091 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 3)   0.666 us    |          mutex_spin_on_owner();
 0)               |  do_syscall_64() {
 1)   0.450 us    |    mutex_unlock();
 0)               |    mutex_lock() {
 1)   7.986 us    |  }
 3)   1.728 us    |        }
 0)               |      __mutex_lock_slowpath() {
 3)   2.511 us    |      }
 0)               |        __mutex_lock.isra.0() {
 3)   3.315 us    |    }
 0)   1.386 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.432 us    |    mutex_unlock();
 1)               |    mutex_lock() {
 3)   6.195 us    |  }
 0)   2.373 us    |        }
 1)               |      __mutex_lock_slowpath() {
 0)   3.152 us    |      }
 1)               |        __mutex_lock.isra.0() {
 0)   4.052 us    |    }
 1)   1.320 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.435 us    |    mutex_unlock();
 3)   0.510 us    |    mutex_lock();
 0)   7.076 us    |  }
 1)   1.626 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.441 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.450 us    |  }
 1)   4.527 us    |        }
 0)               |    mutex_lock() {
 1)   5.310 us    |      }
 0)               |      __mutex_lock_slowpath() {
 1)   6.492 us    |    }
 0)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 0)   1.059 us    |          mutex_spin_on_owner();
 1)   0.432 us    |    mutex_unlock();
 3)   0.492 us    |    mutex_lock();
 1)   9.588 us    |  }
 0)   1.350 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.447 us    |    mutex_unlock();
 3)   3.459 us    |  }
 1)               |  do_syscall_64() {
 0)   3.933 us    |        }
 0)   4.713 us    |      }
 1)               |    mutex_lock() {
 0)   5.550 us    |    }
 1)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_start */
 1)               |        __mutex_lock.isra.0() {
 3)               |  do_syscall_64() {
 1)   0.585 us    |          mutex_spin_on_owner();
 0)   0.447 us    |    mutex_unlock();
 3)   0.444 us    |    mutex_lock();
 0)   8.586 us    |  }
 1)   1.497 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.435 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.398 us    |  }
 1)   3.623 us    |        }
 1)   4.403 us    |      }
 0)               |    mutex_lock() {
 1)   5.213 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.681 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_unlock();
 3)   0.441 us    |    mutex_lock();
 1)   8.183 us    |  }
 0)   1.341 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.297 us    |  }
 0)   3.537 us    |        }
 0)   4.317 us    |      }
 1)               |    mutex_lock() {
 0)   5.127 us    |    }
 1)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 3)               |  do_syscall_64() {
 1)   0.594 us    |          mutex_spin_on_owner();
 0)   0.495 us    |    mutex_unlock();
 3)               |    mutex_lock() {
 0)   8.094 us    |  }
 1)   1.728 us    |        }
 3)               |      __mutex_lock_slowpath() {
 1)   2.505 us    |      }
 3)               |        __mutex_lock.isra.0() {
 1)   3.312 us    |    }
 3)   1.452 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 1)   0.438 us    |    mutex_unlock();
 0)   0.495 us    |    mutex_lock();
 1)   6.219 us    |  }
 3)   1.434 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.371 us    |  }
 3)   4.386 us    |        }
 3)   5.163 us    |      }
 1)               |    mutex_lock() {
 3)   6.075 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 1)   0.615 us    |          mutex_spin_on_owner();
 3)   0.450 us    |    mutex_unlock();
 0)   0.495 us    |    mutex_lock();
 3)   9.159 us    |  }
 1)   1.614 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.432 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.468 us    |  }
 1)   3.756 us    |        }
 3)               |    mutex_lock() {
 1)   4.542 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   5.346 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 3)   0.921 us    |          mutex_spin_on_owner();
 0)               |  do_syscall_64() {
 1)   0.441 us    |    mutex_unlock();
 0)   0.447 us    |    mutex_lock();
 1)   8.322 us    |  }
 3)   1.467 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.420 us    |  }
 3)   3.912 us    |        }
 1)               |    mutex_lock() {
 3)   4.695 us    |      }
 1)               |      __mutex_lock_slowpath() {
 3)   5.541 us    |    }
 1)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 1)   0.803 us    |          mutex_spin_on_owner();
 3)   0.455 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 3)   8.543 us    |  }
 1)   1.434 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.309 us    |  }
 1)   3.755 us    |        }
 1)   4.538 us    |      }
 3)               |    mutex_lock() {
 1)   5.339 us    |    }
 3)               |      __mutex_lock_slowpath() {
 1)               |  /* mutex_start */
 3)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.618 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 1)   8.369 us    |  }
 3)   1.311 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 0)   3.297 us    |  }
 1)               |  do_syscall_64() {
 3)   3.453 us    |        }
 3)   4.236 us    |      }
 1)               |    mutex_lock() {
 3)   5.034 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 1)   0.612 us    |          mutex_spin_on_owner();
 3)   0.699 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 3)   8.133 us    |  }
 1)   1.473 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.519 us    |        }
 0)   3.642 us    |  }
 3)               |    mutex_lock() {
 1)   4.308 us    |      }
 1)   5.112 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 3)   0.654 us    |          mutex_spin_on_owner();
 1)   0.453 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 0)               |    mutex_lock() {
 1)   8.013 us    |  }
 3)   1.713 us    |        }
 0)               |      __mutex_lock_slowpath() {
 3)   2.499 us    |      }
 0)               |        __mutex_lock.isra.0() {
 3)   3.339 us    |    }
 0)   1.314 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.435 us    |    mutex_unlock();
 1)   0.492 us    |    mutex_lock();
 3)   6.264 us    |  }
 0)   1.392 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.348 us    |  }
 0)   4.152 us    |        }
 0)   4.926 us    |      }
 3)               |    mutex_lock() {
 0)   5.820 us    |    }
 3)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_start */
 3)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 3)   0.591 us    |          mutex_spin_on_owner();
 0)   0.450 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 0)   8.916 us    |  }
 3)   1.623 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.435 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.528 us    |  }
 3)   3.771 us    |        }
 3)   4.560 us    |      }
 0)               |    mutex_lock() {
 3)   5.364 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 0)   0.660 us    |          mutex_spin_on_owner();
 3)   0.477 us    |    mutex_unlock();
 1)   0.440 us    |    mutex_lock();
 3)   8.291 us    |  }
 0)   1.557 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.432 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.488 us    |  }
 0)   3.738 us    |        }
 3)               |    mutex_lock() {
 0)   4.521 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.358 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 3)   0.816 us    |          mutex_spin_on_owner();
 1)               |  do_syscall_64() {
 0)   0.450 us    |    mutex_unlock();
 1)               |    mutex_lock() {
 0)   8.280 us    |  }
 3)   1.875 us    |        }
 1)               |      __mutex_lock_slowpath() {
 3)   2.658 us    |      }
 1)               |        __mutex_lock.isra.0() {
 3)   3.462 us    |    }
 1)   1.380 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   0.438 us    |    mutex_unlock();
 0)   0.498 us    |    mutex_lock();
 3)   6.336 us    |  }
 1)   1.488 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.348 us    |  }
 1)   4.590 us    |        }
 3)               |    mutex_lock() {
 1)   5.373 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   6.291 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 3)   1.032 us    |          mutex_spin_on_owner();
 1)   0.432 us    |    mutex_unlock();
 0)   0.438 us    |    mutex_lock();
 1)   9.462 us    |  }
 3)   1.305 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.453 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.524 us    |  }
 3)   3.861 us    |        }
 3)   4.644 us    |      }
 1)               |    mutex_lock() {
 3)   5.451 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 1)   0.594 us    |          mutex_spin_on_owner();
 3)   0.447 us    |    mutex_unlock();
 0)   0.447 us    |    mutex_lock();
 3)   8.451 us    |  }
 1)   1.407 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.402 us    |  }
 1)   3.549 us    |        }
 3)               |    mutex_lock() {
 1)   4.332 us    |      }
 1)   5.169 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 0)               |  do_syscall_64() {
