# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   2.346 us    |    } /* mutex_lock */
 1)   0.221 us    |    mutex_unlock();
 1)   3.839 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.333 us    |          mutex_spin_on_owner();
 1)   0.643 us    |          mutex_spin_on_owner();
 1)   1.685 us    |        }
 1)   2.025 us    |      }
 1)   2.370 us    |    }
 1)               |  /* mutex_stop */
 1)   0.210 us    |    mutex_unlock();
 1)   3.725 us    |  }
 1)               |  do_syscall_64() {
 1)   0.222 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.192 us    |    mutex_unlock();
 1)   1.529 us    |  }
 1)               |  do_syscall_64() {
 1)   0.215 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.198 us    |    mutex_unlock();
 1)   1.492 us    |  }
 1)               |  do_syscall_64() {
 1)   0.199 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.502 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   1.541 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.512 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.530 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.197 us    |    mutex_unlock();
 1)   1.487 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.299 us    |    mutex_unlock();
 1)   1.633 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.192 us    |    mutex_unlock();
 1)   1.525 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.469 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   1.473 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.514 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.537 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.194 us    |    mutex_unlock();
 1)   1.535 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.467 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   1.550 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.520 us    |  }
 1)               |  do_syscall_64() {
 1)   0.199 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.556 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.958 us    |          mutex_spin_on_owner();
 1)   0.657 us    |          mutex_spin_on_owner();
 1)   2.300 us    |        }
 1)   2.639 us    |      }
 1)   3.018 us    |    }
 1)               |  /* mutex_start */
 1)   0.226 us    |    mutex_unlock();
 1)   4.320 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.391 us    |          mutex_spin_on_owner();
 1)   0.603 us    |          mutex_spin_on_owner();
 1)   1.709 us    |        }
 1)   2.044 us    |      }
 1)   2.403 us    |    }
 1)               |  /* mutex_stop */
 1)   0.224 us    |    mutex_unlock();
 1)   3.775 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.372 us    |          mutex_spin_on_owner();
 1)   0.617 us    |          mutex_spin_on_owner();
 1)   1.692 us    |        }
 1)   2.037 us    |      }
 1)   2.378 us    |    }
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   3.815 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.221 us    |          mutex_spin_on_owner();
 1)   0.570 us    |          mutex_spin_on_owner();
 1)   1.474 us    |        }
 1)   1.811 us    |      }
 1)   2.160 us    |    }
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   3.458 us    |  }
 1)               |  do_syscall_64() {
 1)   0.216 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   1.488 us    |  }
 1)               |  do_syscall_64() {
 1)   0.223 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.200 us    |    mutex_unlock();
 1)   1.533 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   1.530 us    |  }
 1)               |  do_syscall_64() {
 1)   0.195 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   1.502 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.487 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.570 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.509 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   1.540 us    |  }
 1)               |  do_syscall_64() {
 1)   0.199 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.483 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.603 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.530 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.198 us    |    mutex_unlock();
 1)   1.469 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.481 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.297 us    |    mutex_unlock();
 1)   1.618 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.515 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   1.467 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.497 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.693 us    |          mutex_spin_on_owner();
 1)   0.613 us    |          mutex_spin_on_owner();
 1)   1.991 us    |        }
 1)   2.324 us    |      }
 1)   2.722 us    |    }
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   4.151 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.369 us    |          mutex_spin_on_owner();
 1)   0.650 us    |          mutex_spin_on_owner();
 1)   1.723 us    |        }
 1)   2.063 us    |      }
 1)   2.419 us    |    }
 1)               |  /* mutex_start */
 1)   0.201 us    |    mutex_unlock();
 1)   3.781 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.212 us    |          mutex_spin_on_owner();
 1)   0.604 us    |          mutex_spin_on_owner();
 1)   1.515 us    |        }
 1)   1.844 us    |      }
 1)   2.193 us    |    }
 1)               |  /* mutex_stop */
 1)   0.207 us    |    mutex_unlock();
 1)   3.510 us    |  }
 1)               |  do_syscall_64() {
 1)   0.222 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.480 us    |  }
 1)               |  do_syscall_64() {
 1)   0.215 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.200 us    |    mutex_unlock();
 1)   1.530 us    |  }
 1)               |  do_syscall_64() {
 1)   0.195 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.522 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   1.467 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.486 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   1.575 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.600 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.620 us    |          mutex_spin_on_owner();
 1)   1.061 us    |        }
 1)   1.402 us    |      }
 1)   1.783 us    |    }
 1)               |  /* mutex_stop */
 1)   0.216 us    |    mutex_unlock();
 1)   3.180 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   1.477 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.200 us    |    mutex_unlock();
 1)   1.559 us    |  }
 1)               |  do_syscall_64() {
 1)   0.199 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.530 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.201 us    |    mutex_unlock();
 1)   1.520 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   1.495 us    |  }
 1)               |  do_syscall_64() {
 1)   0.198 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.597 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.929 us    |          mutex_spin_on_owner();
 1)   1.413 us    |        }
 1)   1.745 us    |      }
 1)   2.134 us    |    }
 1)               |  /* mutex_start */
 1)   0.215 us    |    mutex_unlock();
 1)   3.468 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.306 us    |          mutex_spin_on_owner();
 1)   0.662 us    |          mutex_spin_on_owner();
 1)   1.678 us    |        }
 1)   2.011 us    |      }
 1)   2.371 us    |    }
 1)               |  /* mutex_stop */
 1)   0.217 us    |    mutex_unlock();
 1)   3.677 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.192 us    |    mutex_unlock();
 1)   1.458 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.669 us    |          mutex_spin_on_owner();
 1)   0.604 us    |          mutex_spin_on_owner();
 1)   1.938 us    |        }
 1)   2.267 us    |      }
 1)   2.676 us    |    }
 1)               |  /* mutex_stop */
 1)   0.240 us    |    mutex_unlock();
 1)   4.119 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.375 us    |          mutex_spin_on_owner();
 1)   0.640 us    |          mutex_spin_on_owner();
 1)   1.715 us    |        }
 1)   2.056 us    |      }
 1)   2.409 us    |    }
 1)               |  /* mutex_start */
 1)   0.207 us    |    mutex_unlock();
 1)   3.758 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.212 us    |          mutex_spin_on_owner();
 1)   0.593 us    |          mutex_spin_on_owner();
 1)   1.564 us    |        }
 1)   1.900 us    |      }
 1)   2.250 us    |    }
 1)               |  /* mutex_stop */
 1)   0.209 us    |    mutex_unlock();
 1)   3.577 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.600 us    |          mutex_spin_on_owner();
 1)   0.675 us    |          mutex_spin_on_owner();
 1)   1.927 us    |        }
 1)   2.259 us    |      }
 1)   2.637 us    |    }
 1)               |  /* mutex_start */
 1)   0.228 us    |    mutex_unlock();
 1)   3.972 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.412 us    |          mutex_spin_on_owner();
 1)   0.576 us    |          mutex_spin_on_owner();
 1)   1.696 us    |        }
 1)   2.032 us    |      }
 1)   2.382 us    |    }
 1)               |  /* mutex_stop */
 1)   0.209 us    |    mutex_unlock();
 1)   3.720 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.615 us    |          mutex_spin_on_owner();
 1)   1.132 us    |        }
 1)   1.476 us    |      }
 1)   1.848 us    |    }
 1)               |  /* mutex_start */
 1)   0.213 us    |    mutex_unlock();
 1)   3.223 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.354 us    |          mutex_spin_on_owner();
 1)   0.583 us    |          mutex_spin_on_owner();
 1)   1.647 us    |        }
 1)   1.983 us    |      }
 1)   2.326 us    |    }
 1)               |  /* mutex_stop */
 1)   0.242 us    |    mutex_unlock();
 1)   3.636 us    |  }
 1)               |  do_syscall_64() {
 1)   0.215 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   1.495 us    |  }
 1)               |  do_syscall_64() {
 1)   0.214 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.541 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.210 us    |    mutex_unlock();
 1)   1.528 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.487 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.617 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.625 us    |          mutex_spin_on_owner();
 1)   0.598 us    |          mutex_spin_on_owner();
 1)   1.871 us    |        }
 1)   2.212 us    |      }
 1)   2.596 us    |    }
 1)               |  /* mutex_stop */
 1)   0.213 us    |    mutex_unlock();
 1)   3.956 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.656 us    |          mutex_spin_on_owner();
 1)   1.107 us    |        }
 1)   1.442 us    |      }
 1)   1.849 us    |    }
 1)               |  /* mutex_start */
 1)   0.193 us    |    mutex_unlock();
 1)   3.143 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.316 us    |          mutex_spin_on_owner();
 1)   0.654 us    |          mutex_spin_on_owner();
 1)   1.672 us    |        }
 1)   2.009 us    |      }
 1)   2.357 us    |    }
 1)               |  /* mutex_stop */
 1)   0.201 us    |    mutex_unlock();
 1)   3.706 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.238 us    |          mutex_spin_on_owner();
 1)   0.764 us    |        }
 1)   1.103 us    |      }
 1)   1.447 us    |    }
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   2.785 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.380 us    |          mutex_spin_on_owner();
 1)   0.654 us    |          mutex_spin_on_owner();
 1)   1.749 us    |        }
 1)   2.080 us    |      }
 1)   2.428 us    |    }
 1)               |  /* mutex_stop */
 1)   0.210 us    |    mutex_unlock();
 1)   3.725 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.318 us    |          mutex_spin_on_owner();
 1)   0.645 us    |          mutex_spin_on_owner();
 1)   1.673 us    |        }
 1)   2.008 us    |      }
 1)   2.357 us    |    }
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   3.651 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.277 us    |          mutex_spin_on_owner();
 1)   0.824 us    |        }
 1)   1.166 us    |      }
 1)   1.509 us    |    }
 1)               |  /* mutex_stop */
 1)   0.198 us    |    mutex_unlock();
 1)   2.855 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.298 us    |          mutex_spin_on_owner();
 1)   0.803 us    |        }
 1)   1.139 us    |      }
 1)   1.487 us    |    }
 1)               |  /* mutex_start */
 1)   0.193 us    |    mutex_unlock();
 1)   3.003 us    |  }
 1)               |  do_syscall_64() {
 1)   0.217 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.493 us    |  }
 1)               |  do_syscall_64() {
 1)   0.217 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.532 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.524 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   1.526 us    |  }
 1)               |  do_syscall_64() {
 1)   0.195 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.209 us    |    mutex_unlock();
 1)   1.495 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   1.486 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.518 us    |  }
 1)               |  do_syscall_64() {
 1)   0.195 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.193 us    |    mutex_unlock();
 1)   1.517 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.210 us    |    mutex_unlock();
 1)   1.492 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   1.474 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.557 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   1.529 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.469 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.192 us    |    mutex_unlock();
 1)   1.484 us    |  }
 1)               |  do_syscall_64() {
 1)   0.227 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.548 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.193 us    |    mutex_unlock();
 1)   1.651 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.490 us    |          mutex_spin_on_owner();
 1)   0.598 us    |          mutex_spin_on_owner();
 1)   1.855 us    |        }
 1)   2.188 us    |      }
 1)   2.580 us    |    }
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   3.919 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.358 us    |          mutex_spin_on_owner();
 1)   0.740 us    |          mutex_spin_on_owner();
 1)   1.804 us    |        }
 1)   2.137 us    |      }
 1)   2.495 us    |    }
 1)               |  /* mutex_start */
 1)   0.217 us    |    mutex_unlock();
 1)   3.904 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.212 us    |          mutex_spin_on_owner();
 1)   0.599 us    |          mutex_spin_on_owner();
 1)   1.548 us    |        }
 1)   1.890 us    |      }
 1)   2.231 us    |    }
 1)               |  /* mutex_stop */
 1)   0.236 us    |    mutex_unlock();
 1)   3.568 us    |  }
 1)               |  do_syscall_64() {
 1)   0.215 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.193 us    |    mutex_unlock();
 1)   1.483 us    |  }
 1)               |  do_syscall_64() {
 1)   0.226 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   1.550 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.531 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.200 us    |    mutex_unlock();
 1)   1.474 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.201 us    |    mutex_unlock();
 1)   1.491 us    |  }
 1)               |  do_syscall_64() {
 1)   0.195 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   1.602 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.503 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.664 us    |          mutex_spin_on_owner();
 1)   0.706 us    |          mutex_spin_on_owner();
 1)   2.032 us    |        }
 1)   2.366 us    |      }
 1)   2.770 us    |    }
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   4.124 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.305 us    |          mutex_spin_on_owner();
 1)   0.616 us    |          mutex_spin_on_owner();
 1)   1.741 us    |        }
 1)   2.074 us    |      }
 1)   2.433 us    |    }
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   3.795 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.207 us    |          mutex_spin_on_owner();
 1)   0.708 us    |          mutex_spin_on_owner();
 1)   1.681 us    |        }
 1)   2.022 us    |      }
 1)   2.365 us    |    }
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   3.650 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.426 us    |          mutex_spin_on_owner();
 1)   0.928 us    |        }
 1)   1.267 us    |      }
 1)   1.643 us    |    }
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   2.935 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.350 us    |          mutex_spin_on_owner();
 1)   0.694 us    |          mutex_spin_on_owner();
 1)   1.702 us    |        }
 1)   2.038 us    |      }
 1)   2.390 us    |    }
 1)               |  /* mutex_stop */
 1)   0.202 us    |    mutex_unlock();
 1)   3.785 us    |  }
 1)               |  do_syscall_64() {
 1)   0.215 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   1.531 us    |  }
 1)               |  do_syscall_64() {
